Rack Name: 							
Accession: 	965						
Rack Status: 	Rack processing completed normally.						
Rack Description:							
Operator: 	User1						
Original Data File: 	2016-11-25-BAX2						
Time of Verification: 	N/A						
Time of PCR Run: 	11/25/16 14:59						
Time of Detection: 	11/25/16 15:55						
Time of Analysis: 	"11/25/2016 15:55:59, SW ver: 2.8 b0293, Analysis ver: 2.8.0293"						
Well	Sample ID	Result	Target	Control	Description	Lot Number	Control Status
1	Batch #1	Negative	Salmonella	Internal	Batches	Q6277	Positive
2	Batch #2	Negative	Salmonella	Internal	Batches	Q6277	Positive
3	Batch #3	Negative	Salmonella	Internal	Batches	Q6277	Positive
4	Batch #4	Negative	Salmonella	Internal	Batches	Q6277	Positive
5	Batch #5	Negative	Salmonella	Internal	Batches	Q6277	Positive
6	Batch #6	Negative	Salmonella	Internal	Batches-Negative Control	Q6277	Positive
7		Unknown	Empty	None			Unknown
8		Unknown	Empty	None			Unknown
9	1234567	Negative	Salmonella	Internal	12345	Q6277	Positive
10	1234568	Negative	Salmonella	Internal	12345	Q6277	Positive
11	1234569	Negative	Salmonella	Internal	12345	Q6277	Positive
12	1234570	Negative	Salmonella	Internal	12345	Q6277	Positive
13	1234571	Negative	Salmonella	Internal	12345	Q6277	Positive
14		Unknown	Empty	None			Unknown
15		Unknown	Empty	None			Unknown
16		Unknown	Empty	None			Unknown
17		Unknown	Empty	Internal			Unknown
18		Unknown	Empty	Internal			Unknown
19		Unknown	Empty	Internal			Unknown
20		Unknown	Empty	Internal			Unknown
21		Unknown	Empty	Internal			Unknown
22		Unknown	Empty	Internal			Unknown
23		Unknown	Empty	Internal			Unknown
24		Unknown	Empty	None			Unknown
25		Unknown	Empty	None			Unknown
26		Unknown	Empty	None			Unknown
27		Unknown	Empty	None			Unknown
28		Unknown	Empty	None			Unknown
29		Unknown	Empty	None			Unknown
30		Unknown	Empty	None			Unknown
31		Unknown	Empty	None			Unknown
32		Unknown	Empty	None			Unknown
33		Unknown	Empty	None			Unknown
34		Unknown	Empty	None			Unknown
35		Unknown	Empty	None			Unknown
36		Unknown	Empty	None			Unknown
37		Unknown	Empty	None			Unknown
38		Unknown	Empty	None			Unknown
39		Unknown	Empty	None			Unknown
40		Unknown	Empty	None			Unknown
41		Unknown	Empty	None			Unknown
42		Unknown	Empty	None			Unknown
43		Unknown	Empty	None			Unknown
44		Unknown	Empty	None			Unknown
45		Unknown	Empty	None			Unknown
46		Unknown	Empty	None			Unknown
47		Unknown	Empty	None			Unknown
48		Unknown	Empty	None			Unknown
49		Unknown	Empty	None			Unknown
50		Unknown	Empty	None			Unknown
51		Unknown	Empty	None			Unknown
52		Unknown	Empty	None			Unknown
53		Unknown	Empty	None			Unknown
54		Unknown	Empty	None			Unknown
55		Unknown	Empty	None			Unknown
56		Unknown	Empty	None			Unknown
57		Unknown	Empty	None			Unknown
58		Unknown	Empty	None			Unknown
59		Unknown	Empty	None			Unknown
60		Unknown	Empty	None			Unknown
61		Unknown	Empty	None			Unknown
62		Unknown	Empty	None			Unknown
63		Unknown	Empty	None			Unknown
64		Unknown	Empty	None			Unknown
65		Unknown	Empty	None			Unknown
66		Unknown	Empty	None			Unknown
67		Unknown	Empty	None			Unknown
68		Unknown	Empty	None			Unknown
69		Unknown	Empty	None			Unknown
70		Unknown	Empty	None			Unknown
71		Unknown	Empty	None			Unknown
72		Unknown	Empty	None			Unknown
73		Unknown	Empty	None			Unknown
74		Unknown	Empty	None			Unknown
75		Unknown	Empty	None			Unknown
76		Unknown	Empty	None			Unknown
77		Unknown	Empty	None			Unknown
78		Unknown	Empty	None			Unknown
79		Unknown	Empty	None			Unknown
80		Unknown	Empty	None			Unknown
81		Unknown	Empty	None			Unknown
82		Unknown	Empty	None			Unknown
83		Unknown	Empty	None			Unknown
84		Unknown	Empty	None			Unknown
85		Unknown	Empty	None			Unknown
86		Unknown	Empty	None			Unknown
87		Unknown	Empty	None			Unknown
88		Unknown	Empty	None			Unknown
89		Unknown	Empty	None			Unknown
90		Unknown	Empty	None			Unknown
91		Unknown	Empty	None			Unknown
92		Unknown	Empty	None			Unknown
93		Unknown	Empty	None			Unknown
94		Unknown	Empty	None			Unknown
95		Unknown	Empty	None			Unknown
96		Unknown	Empty	None			Unknown
